No,周目,イベント名,形式,ユニット,タイプ,書き下ろし楽曲,開始日,終了日,日数,参加人数
109,15,BURN MY SOUL,通常,3_VBS,キュート,CR詠ZY,2023-10-12 15:00:00,2023-10-20 21:00:00,8,
110,15,Stick to your faith,通常,1_L/n,ピュア,purpose,2023-10-22 15:00:00,2023-10-29 21:00:00,7,
111,15,その手導くぬくもりは,チアフル,2_MMJ,クール,はぐ,2023-10-31 15:00:00,2023-11-06 21:00:00,6,
112,15,水底に影を探して,ワールドリンク,5_25,-,-,2023-11-08 20:00:00,2023-11-20 20:00:00,12,
113,15,君が主役の物語を,通常,4_WxS,ミステリアス,フィラメントフィーバー,2023-11-22 15:00:00,2023-11-28 21:00:00,6,
114,15,最高のクランクアップ！,チアフル,混合,ピュア,-,2023-11-30 15:00:00,2023-12-08 21:00:00,8,
115,15,あっちこっち飼育員体験！,通常,混合,クール,-,2023-12-10 15:00:00,2023-12-18 21:00:00,8,
116,15,あの日、奏でた音色を,通常,5_25,ハッピー,25時の情熱,2023-12-20 15:00:00,2023-12-29 21:00:00,9,
117,16,変わらぬあたたかさの隣で,チアフル,混合,ミステリアス,-,2023-12-31 15:00:00,2024-01-07 21:00:00,7,
118,16,BREAK DOWN THE WALL,ワールドリンク,3_VBS,-,-,2024-01-09 20:00:00,2024-01-21 20:00:00,12,
119,16,逆光のレンズフレア,通常,4_WxS,ハッピー,サイバーパンクデッドボーイ,2024-01-23 15:00:00,2024-01-29 21:00:00,6,
120,16,Take the Best Shot！,チアフル,混合,ミステリアス,-,2024-01-31 20:00:00,2024-02-08 21:00:00,8,
121,16,導く勇気、優しさを胸に,通常,1_L/n,クール,レグルス,2024-02-10 15:00:00,2024-02-18 21:00:00,8,
122,16,刻まれた傷は、やがて,通常,2_MMJ,ピュア,JUMPIN’ OVER !,2024-02-20 15:00:00,2024-02-27 21:00:00,7,
123,16,リラックスティータイム,チアフル,混合,ハッピー,-,2024-02-29 15:00:00,2024-03-06 21:00:00,6,
124,16,星を目指して、ヨーソロー！,ワールドリンク,4_WxS,-,-,2024-03-08 20:00:00,2024-03-20 20:00:00,12,
125,16,The first concerto,通常,3_VBS,ハッピー,blender,2024-03-22 15:00:00,2024-03-28 21:00:00,6,
126,16,Rise as ONE！,チアフル,混合,クール,-,2024-03-30 15:00:00,2024-04-08 21:00:00,9,
127,16,Knowing the Unseen,通常,5_25,ピュア,私は雨,2024-04-10 15:00:00,2024-04-18 21:00:00,8,
128,17,Parallel Harmonies,通常,1_L/n,ハッピー,すれすれ,2024-04-20 15:00:00,2024-04-28 21:00:00,8,
129,17,Whip the wimp girl!!,通常,3_VBS,クール,烈火,2024-04-30 15:00:00,2024-05-07 21:00:00,7,
130,17,いつか花咲くステージへ,ワールドリンク,2_MMJ,-,-,2024-05-09 20:00:00,2024-05-21 20:00:00,12,
131,17,perspective for smile,通常,4_WxS,キュート,オペラ！スペースオペラ！,2024-05-23 15:00:00,2024-05-29 21:00:00,6,
132,17,みんなで配信♡WEDDING LIVE！,チアフル,混合,ミステリアス,-,2024-05-31 15:00:00,2024-06-08 21:00:00,8,
133,17,Lead to shine more,通常,2_MMJ,クール,Supernova,2024-06-10 15:00:00,2024-06-18 21:00:00,8,
